序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
425,688018,乐鑫科技,3.152,2565275400.0,2006919700.0,27.821526690879,-2.051554016792,497840100.0,339323900.0,46.715306525712,4.8284161824,26.81,17.33,半导体,2026-02-28
426,688016,心脉医疗,4.65,1350632689.26,1206326728.85,11.962427504824,11.820327975127,563213122.1,502100205.69,12.171458150673,17.2614120661,33.63,14.3,医疗器械,2026-02-28
428,688012,中微公司,3.4,12384638300.0,9065165100.0,36.617901200718,39.333448099893,2111473000.0,1615675700.0,30.686684215155,78.1760544028,36.24,9.98,半导体,2026-02-28
430,688010,福光股份,0.08,675319400.0,621389800.0,8.678867918334,10.363100933037,12694200.0,9489300.0,33.773829471089,427.547606059,10.91,0.75,光学光电子,2026-02-28
431,688009,中国通号,0.34,34676948800.0,32643648700.0,6.22877705457,80.473253200132,3661042400.0,3494725800.0,4.759074374304,107.4935808583,4.7,7.48,轨交设备Ⅱ,2026-02-28
432,688008,澜起科技,1.97,5456316800.0,3638911100.0,49.943668588111,-1.797719779157,2235570000.0,1411778900.0,58.35128290981,27.4870388664,11.27,18.25,半导体,2026-02-28
437,688002,睿创微纳,2.45,6322021400.0,4315695800.0,46.489041234093,44.992271097418,1100334600.0,568960600.0,93.393813209561,10.6193504077,14.41,18.31,军工电子Ⅱ,2026-02-28
439,605050,福然德,0.76,11786169900.0,11278496800.0,4.501247896794,17.934873635013,373124800.0,316707800.0,17.813580846446,44.062861016,9.08,8.57,物流,2026-02-28
441,603112,华翔股份,1.11,4128630087.76,3827518675.82,7.86701352608,13.886292341727,561745668.56,470558096.1,19.378600265465,35.2062950998,8.08,12.54,家电零部件Ⅱ,2026-02-28
444,300453,三鑫医疗,0.5076,1640093700.0,1500438400.0,9.307633022455,16.149986841266,262489300.0,227404100.0,15.428569669588,10.9490766227,2.79,18.75,医疗器械,2026-02-28
446,300308,中际旭创,9.8,38239982100.0,23862159700.0,60.253650888105,29.556932431076,10798634500.0,5171486000.0,108.81105546839,16.8924423234,27.0,43.63,通信设备,2026-02-28
454,002140,东华科技,0.7528,10024616921.37,8862222844.58,13.116281289416,60.535023943691,532860214.85,410250060.43,29.886687717118,34.4679532185,6.7,11.63,专业工程,2026-02-28
455,002130,沃尔核材,0.91,8450670467.93,6926531873.4,22.004354017097,10.838273508659,1135293154.5,847550824.17,33.949861427105,18.8380643298,5.15,18.88,其他电子Ⅱ,2026-02-28
457,002078,太阳纸业,1.1658,39184218359.14,40726522046.23,-3.78697617572,4.334011744529,3257857931.51,3101256409.22,5.049615434068,5.3748984319,10.92,10.95,造纸,2026-02-28
458,002063,远光软件,0.1579,2593222000.0,2398393300.0,8.123300711355,98.845543967955,301103300.0,292915300.0,2.795347323953,269.5764148884,2.0679,7.91,软件开发,2026-02-28
463,688809,强一股份,4.1,1012104500.0,641360400.0,57.805891975869,33.866858801395,397976100.0,233097000.0,70.734114982175,32.4414450125,31.44,30.11,半导体,2026-02-27
475,688718,唯赛勃,0.27,419989300.0,375236000.0,11.926707458773,45.47883818782,46106600.0,38588100.0,19.483985995683,60.0359391144,4.62,5.8,塑料,2026-02-27
478,688692,达梦数据,4.56,1305849900.0,1044431300.0,25.029755427667,54.84249521959,516871600.0,361870000.0,42.833503744439,49.6484042408,32.67,14.85,软件开发,2026-02-27
481,688689,银河微电,0.63,1049562500.0,909049600.0,15.457121371595,13.636119354966,80385900.0,71874200.0,11.842497029532,78.7733913802,10.71,5.96,半导体,2026-02-27
495,688580,伟思医疗,1.43,462725700.0,400058900.0,15.664393418069,19.220586714116,136632000.0,101969200.0,33.99340192921,5.0562569731,17.66,8.23,医疗器械,2026-02-27
496,688578,艾力斯,4.85,5171705600.0,3557930200.0,45.357140508265,5.843853369641,2181292900.0,1429847100.0,52.554276607618,0.1727075061,15.72,35.89,化学制药,2026-02-27
500,688562,航天软件,-0.03,1216353900.0,1162917100.0,4.595065288833,786.084533825662,-11312600.0,-82134200.0,86.22668754307,323.7871057733,4.31,-0.65,IT服务Ⅱ,2026-02-27
501,688556,高测股份,-0.05,3649841529.46,4474236759.85,-18.425382353205,24.457410877143,-40164769.24,-44227926.57,9.186859174981,499.5323058062,4.75,-1.07,光伏设备,2026-02-27
513,688469,芯联集成,-0.08,8181865200.0,6509090800.0,25.699048475403,43.241277236813,-574267800.0,-962159600.0,40.314704545899,62.0029320534,1.56,-4.77,半导体,2026-02-27
521,688373,盟科药业,-0.37,141772700.0,130272800.0,8.827552643376,2.085304754172,-241612400.0,-440721200.0,45.177949234119,12.3682050895,0.31,-75.34,化学制药,2026-02-27
523,688357,建龙微纳,0.98,840848900.0,778749700.0,7.974218160212,18.13243353037,98523800.0,74756200.0,31.793483349876,7.234642545,18.67,5.38,化学制品,2026-02-27
524,688355,明志科技,0.65,530452200.0,631484200.0,-15.999133470006,36.452863848138,79748200.0,66340000.0,20.211335544166,6430.8258470965,8.89,7.3,通用设备,2026-02-27
527,688326,经纬恒润,0.88,6848097100.0,5541122200.0,23.586826870557,53.288365223899,99537500.0,-550318200.0,118.087262968951,1364.8215207649,36.84,2.43,软件开发,2026-02-27
529,688318,财富趋势,1.23,368582241.78,388984497.08,-5.245004737503,160.588901498975,314947149.35,303941251.5,3.621060910845,69.375962421,14.99,8.47,软件开发,2026-02-27
531,688310,迈得医疗,0.4,447419000.0,274850800.0,62.786137060543,166.340703318645,65259900.0,-19981200.0,426.606510119512,1921.1791608395,5.19,7.86,自动化设备,2026-02-27
532,688307,中润光学,0.72,658304700.0,454664600.0,44.789081885856,-3.683541827784,63459100.0,53429800.0,18.770985480013,25.1044613391,10.17,7.19,计算机设备,2026-02-27
535,688297,中无人机,0.13,3015851400.0,685242300.0,340.114598879841,32.396034551307,88574900.0,-53916100.0,264.282839448699,2548.7025850046,8.48,1.55,航空装备Ⅱ,2026-02-27
537,688283,坤恒顺维,0.38,242668673.98,226565453.5,7.107535694977,55.301940339566,46767594.64,37033845.65,26.283387045439,53.8191807234,8.09,4.77,通信设备,2026-02-27
541,688269,凯立新材,0.84,2033750900.0,1686559600.0,20.58577117583,42.520134834594,110286800.0,92616500.0,19.078997802767,24.2239291541,8.08,10.76,化学制品,2026-02-27
546,688248,南网科技,0.75,3688439400.0,3013539800.0,22.395576126123,129.160788173228,421354200.0,365046400.0,15.424833664981,20.0473175787,5.77,13.33,电网设备,2026-02-27
552,688201,信安世纪,0.25,541979200.0,500562900.0,8.273945192502,86.465302216026,79290400.0,-47817600.0,265.818443418323,1414.5880042149,4.34,5.99,软件开发,2026-02-27
554,688179,阿拉丁,0.31,686463305.56,533555511.04,28.658272917462,43.689344484495,103449733.93,98761868.7,4.74663480117,55.9539504477,2.93,10.33,化学制品,2026-02-27
560,688118,普元信息,0.081,339342000.0,419833500.0,-19.172243282158,209.864659002685,7467400.0,6546600.0,14.065316347417,457.861981048,9.35,0.87,软件开发,2026-02-27
564,688095,福昕软件,0.306,1075262600.0,711135400.0,51.20363857572,57.269714950296,27521000.0,26958300.0,2.087297789549,315.5424980718,28.71,1.12,软件开发,2026-02-27
572,688031,星环科技,-2.03,447530300.0,371492000.0,20.468354634824,206.522721999851,-245170200.0,-343462800.0,28.618121089096,54.5485049538,7.12,-24.87,软件开发,2026-02-27
575,300693,盛弘股份,1.523,3463266300.0,3036170700.0,14.066916593326,46.035765169298,474372300.0,428975200.0,10.582686365086,66.8019597311,6.94,24.07,其他电源设备Ⅱ,2026-02-27
579,300627,华测导航,1.239,3681317600.0,3251013400.0,13.236002041702,35.435383627586,680816400.0,583403200.0,16.697405842135,13.2859275091,5.355,17.9,通信设备,2026-02-27
587,688805,健信超导,0.6,579434100.0,425497500.0,36.178026897925,31.81990011601,75114000.0,55783900.0,34.651754359233,75.0575703508,7.29,15.07,医疗器械,2026-02-26
588,688789,宏华数科,2.96,2307757600.0,1790356200.0,28.899355334989,13.695724010708,528901900.0,414395200.0,27.632245740298,2.8351134654,19.83,15.72,专用设备,2026-02-26
590,688701,卓锦股份,-0.43,131435500.0,242491500.0,-45.797893946798,97.807672727384,-57366400.0,-82202200.0,30.213059991095,84.3392990917,1.06,-33.7,环境治理,2026-02-26
593,688630,芯碁微装,2.2,1408121260.32,953942795.24,47.610660444868,70.009223125048,289933018.3,160695258.36,80.424127792541,60.4825121646,17.52,13.28,专用设备,2026-02-26
601,688519,南亚新材,1.07,5227828800.0,3361541000.0,55.518817113937,15.182194098104,240859300.0,50320200.0,378.653304239649,16.7148409653,12.26,9.14,元件,2026-02-26
602,688501,青达环保,1.47,2042225200.0,1314035300.0,55.416311875336,101.964322424444,180945400.0,92973200.0,94.621030576553,259.4900937934,9.08,17.36,环保设备Ⅱ,2026-02-26
605,688388,嘉元科技,0.14,9645727400.0,6522269000.0,47.889137967171,20.502888603204,59124900.0,-238831000.0,124.755957141242,342.7255719783,16.29,0.85,电池,2026-02-26
606,688320,禾川科技,-0.64,1027877900.0,810668700.0,26.793830821395,31.801361879667,-128549800.0,-165094400.0,22.135578190417,30.9967484721,8.11,-11.05,自动化设备,2026-02-26
609,688271,联影医疗,2.29,13820640200.0,10300104400.0,34.179612781401,74.523307957487,1887798400.0,1261869500.0,49.603298914824,528.037572964,26.2,9.09,医疗器械,2026-02-26
610,688233,神工股份,0.6,442772000.0,302729500.0,46.259944934339,17.958168058949,101454700.0,41150700.0,146.544287217471,35.6152808649,11.08,5.52,半导体,2026-02-26
613,688151,华强科技,0.12,628322700.0,611348100.0,2.776585058496,313.18247181394,42678000.0,22527900.0,89.445088090767,12390.9372565176,12.27,1.01,医疗器械,2026-02-26
616,688108,赛诺医疗,0.11,525407900.0,458739300.0,14.533003821561,30.941257035709,47286300.0,1497800.0,3057.0503404994,259.6325952067,2.23,5.27,医疗器械,2026-02-26
617,688088,虹软科技,0.64,922971000.0,815173500.0,13.223871973267,36.015979760334,257706000.0,176685800.0,45.855524326233,118.0942726287,6.84,9.43,IT服务Ⅱ,2026-02-26
624,300992,泰福泵业,0.1858,935753100.0,743365600.0,25.880603030326,43.075850900647,17563100.0,12654900.0,38.78497657034,110.9726966355,9.4785,1.98,通用设备,2026-02-26
627,300428,立中集团,1.39,32139171300.0,27246366800.0,17.957640135712,8.73193833724,889168400.0,707115700.0,25.745815005946,17.6691114778,13.15,11.44,汽车零部件,2026-02-26
631,688488,艾迪药业,-0.05,720669600.0,417804700.0,72.489586641797,-11.397804435222,-19733700.0,-141204300.0,86.024717377587,19.57559999,2.29,-2.03,生物制品,2026-02-25
632,688380,中微半导,0.71,1122150053.86,911654675.0,23.089376343076,29.765543723959,284681764.62,136833872.76,108.049190509515,101.1496270098,7.94,9.2,半导体,2026-02-25
634,688336,三生国健,4.76,4199118400.0,1193568300.0,251.812158550122,550.471483452877,2938714400.0,704579100.0,317.087932355643,1117.9346861816,13.68,41.98,生物制品,2026-02-25
636,688309,恒誉环保,0.4491,294184400.0,154939500.0,89.870497839479,67.00793603812,35932500.0,17421600.0,106.252583000413,254.0066246951,9.73,4.75,环保设备Ⅱ,2026-02-25
638,688102,斯瑞新材,0.2091,1564493000.0,1329681300.0,17.659246617968,-2.80402565242,154274500.0,114240900.0,35.043141291779,40.5252014266,2.45,11.47,金属新材料,2026-02-25
639,688015,交控科技,0.82,2537349100.0,2185833100.0,16.081557187509,94.555854147556,155551200.0,83572200.0,86.127922921737,106.9805273901,14.11,5.98,轨交设备Ⅱ,2026-02-25
640,603019,中科曙光,1.45,14970101263.26,13147685135.79,13.861117821487,107.048631605123,2112663158.84,1911152257.13,10.543948079396,382.8537803886,15.15,9.96,计算机设备,2026-02-25
656,002287,奇正藏药,1.1889,2416012300.0,2337969652.39,3.338052208258,156.711151199753,646231100.0,582281116.79,10.982664793003,241.9770546499,8.64,14.58,中药Ⅱ,2026-02-14
660,688456,有研粉材,0.68,3902224000.0,3228899200.0,20.853075871802,-0.532167506508,70911500.0,59382500.0,19.414810760746,21.0483856564,12.23,5.73,金属新材料,2026-02-13
664,688375,国博电子,0.85,2385999500.0,2591086700.0,-7.915103728486,64.147525624409,507526300.0,484649000.0,4.720385268514,469.214462319,10.85,8.02,军工电子Ⅱ,2026-02-12
673,688278,特宝生物,2.55,3695567200.0,2817158200.0,31.180677038301,25.500882546116,1037734000.0,827602200.0,25.390435163174,55.9882180505,8.47,35.0,生物制品,2026-02-11
674,300037,新宙邦,1.46,9639167800.0,7846787000.0,22.842225741568,27.6430936123,1098042400.0,942053300.0,16.558415537635,32.4772492529,14.3569,10.75,电池,2026-02-11
675,688700,东威科技,0.43,1107385700.0,749997500.0,47.65191883973,11.760424126786,129407100.0,69272900.0,86.807683812862,2.7427091258,6.19,7.2,专用设备,2026-02-10
678,600479,千金药业,0.6414,3634578070.78,3629804492.14,0.131510626821,1.766635333041,287836838.39,230756619.25,24.736113453872,68.5084888594,6.16,9.73,中药Ⅱ,2026-02-10
679,301571,国科天成,1.14,1102140100.0,960645000.0,14.729176751037,24.452477348079,203644700.0,172673900.0,17.936005383558,32.593403015,11.37,10.53,军工电子Ⅱ,2026-02-10
682,688187,时代电气,3.0,28760710000.0,24908940000.0,15.463403902374,50.097347484135,4105350000.0,3702590000.0,10.877790951739,32.0168886727,31.29,9.84,轨交设备Ⅱ,2026-02-07
683,688146,中船特气,0.66,2259975200.0,1950258400.0,15.880808409798,15.044763040406,347035700.0,307326000.0,12.921034992158,50.0736554776,10.89,6.11,半导体,2026-02-07
686,600444,国机通用,0.3996,898826100.0,766115600.0,17.322516340876,226.397330325806,58515700.0,40159300.0,45.708964050668,484.1787950787,5.14,8.01,专用设备,2026-02-07
689,000999,华润三九,2.06,31629472000.0,27616611800.0,14.53060291777,34.374867725634,3421788100.0,3367889000.0,1.600382316638,98.8511156563,13.32,16.08,中药Ⅱ,2026-02-07
690,688209,英集芯,0.41,1611545449.92,1430516298.72,12.654812207451,-5.227546323971,177444812.47,124250617.15,42.812016986428,0.7225668527,5.06,8.55,半导体,2026-02-06
693,002827,高争民爆,0.71,1824699971.49,1692314503.93,7.822746141605,15.39576896047,196728223.6,148168091.37,32.773677369399,24.3424006398,3.84,19.68,化学制品,2026-02-06
694,601665,齐鲁银行,1.0,13135164000.0,12495810000.0,5.116547066577,2.196655815565,5713491000.0,4986289000.0,14.584032333465,42.3837050838,7.96,12.17,银行Ⅱ,2026-02-05
698,688285,高铁电气,0.1368,1181105500.0,1008147600.0,17.156009695406,34.136314158985,51461500.0,45133100.0,14.021638221173,91.1653358319,4.49,3.08,轨交设备Ⅱ,2026-02-04
703,000719,中原传媒,1.32,9351353600.0,9856912100.0,-5.128974417861,33.494694767679,1349123400.0,1029908300.0,30.994516696292,180.2105582829,11.96,11.37,出版,2026-02-04
704,688449,联芸科技,0.31,1331342200.0,1173783900.0,13.423109654171,31.91831876523,142096400.0,118058600.0,20.360905516413,53.4113960306,4.14,7.86,半导体,2026-02-03
705,688091,上海谊众,0.31,317076818.03,173532721.07,82.718749567753,-10.711085983289,64131993.35,6975282.6,819.417850539848,6.4658823887,6.92,4.46,化学制药,2026-02-03
708,688197,首药控股,-0.87,8667600.0,3942000.0,119.878234398782,,-128834200.0,-211939000.0,39.211659958762,151.458927571,4.57,-17.3,化学制药,2026-01-31
714,688548,广钢气体,0.22,2424472200.0,2103465600.0,15.260843818886,15.980252221894,286129300.0,247958300.0,15.394120704973,2.9574080453,4.55,4.84,电子化学品Ⅱ,2026-01-29
716,688301,奕瑞科技,3.3,2298930234.94,1831395031.93,25.528910740644,55.437644926767,661270474.3,465176804.27,42.154653505935,40.2494327047,29.19,13.32,医疗器械,2026-01-29
719,002948,青岛银行,0.85,14572778000.0,13497534000.0,7.966225534235,6.233289193975,5187741000.0,4264120000.0,21.660295676482,28.9793924177,7.0,12.68,银行Ⅱ,2026-01-29
724,002463,沪电股份,1.9875,18945220585.0,13341541440.0,42.0017369822,8.255663868702,3822306272.0,2587236693.0,47.737015416548,6.7499737408,7.85,28.57,元件,2026-01-28
727,002116,中国海诚,0.74,6968703724.15,6821450241.28,2.158682943678,68.120480181771,342756830.52,335354059.79,2.207449265602,30.5947414724,5.95,12.92,专业工程,2026-01-27
728,688683,莱尔科技,0.28,961787300.0,525647400.0,82.971950398689,16.630816867761,42464100.0,37356300.0,13.673195685868,6.9130620966,7.41,4.16,电子化学品Ⅱ,2026-01-26
730,601788,光大证券,0.73,10863270000.0,9598340000.0,13.178632971951,-12.753832121442,3728990000.0,3058460000.0,21.923778633692,5.6222081552,13.21,5.59,证券Ⅱ,2026-01-24
731,601018,宁波港,0.27,31058837000.0,28879155000.0,7.547596181398,2.61663018705,5167708000.0,4893079000.0,5.612600981918,1.2237830662,4.15,6.46,航运港口,2026-01-24
733,600750,华润江中,1.43,4219500000.0,4435450000.0,-4.868728088469,62.404033125815,906120000.0,788190000.0,14.962128420812,38.207713471,6.34,22.74,中药Ⅱ,2026-01-24
737,001395,亚联机械,2.13,800707600.0,864841087.37,-7.415638353288,60.019635760207,185846100.0,154652488.37,20.170132377935,13.4216049673,13.72,16.5,专用设备,2026-01-24
740,605016,百龙创园,0.87,1379053700.0,1151652269.49,19.745667727525,28.291357190442,365783200.0,245598458.46,48.93546249989,6.6566141163,4.66,19.35,化学制品,2026-01-23
746,688475,萤石网络,0.72,5901160800.0,5441939900.0,8.438551480512,9.752049467678,566565200.0,503927700.0,12.429858489621,20.3431847499,7.35,10.08,计算机设备,2026-01-21
748,002415,海康威视,1.545,92517540779.05,92495525118.3,0.02380186579,11.779642028113,14188269426.14,11977327023.54,18.459397478708,32.9722550131,9.093,17.29,计算机设备,2026-01-21
752,002911,佛燃能源,0.69,33754172803.23,31589455634.79,6.852657397666,25.59038858065,1000682279.92,853115733.54,17.297365477914,182.5697548211,7.12,17.98,燃气Ⅱ,2026-01-20
754,688128,中国电研,1.32,4765864300.0,4522709300.0,5.376312822051,12.697854907765,532632400.0,467054800.0,14.040665035452,23.520502847,8.81,15.7,专用设备,2026-01-17
755,601965,中国汽研,1.07,4967544400.0,4732062500.0,4.976305786325,74.503369050961,1060113800.0,899542000.0,17.850394978778,53.0415240681,7.81,14.34,汽车服务,2026-01-17
759,002028,思源电气,4.06,21205376446.04,15458068522.4,37.179987365897,38.428960641354,3162751580.09,2049069550.48,54.350621205079,8.0901120829,19.82,22.38,电网设备,2026-01-16
761,601998,中信银行,1.2,212475000000.0,213646000000.0,-0.548102936633,9.916201117318,70618000000.0,68576000000.0,2.977718152123,1.8565600426,13.01,9.39,银行Ⅱ,2026-01-15
764,301508,中机认检,0.6719,879450700.0,831078800.0,5.820374674459,22.004039584817,151916500.0,132430400.0,14.71421969578,0.7904442074,9.0303,7.65,专业服务,2026-01-15
765,300824,北鼎股份,0.3408,949872500.0,753622086.64,26.040958305107,36.433106246326,110552400.0,69508710.23,59.048268388507,2.0289475508,2.3072,15.22,小家电,2026-01-15
767,600000,浦发银行,1.52,173964000000.0,170748000000.0,1.883477405299,-0.0886843556,50017000000.0,45257000000.0,10.517709967519,23.2988328562,22.13,6.76,银行Ⅱ,2026-01-14
771,000563,陕国投A,0.2813,2928373600.0,2927639556.38,0.025072882295,-3.392457771433,1438641900.0,1361053904.36,5.700582129147,63.6530848912,3.75,7.82,多元金融,2026-01-10
